week	time	hot_title	hot_type	rate_of_like
5	晚上	False	True	True
5	上午	False	False	True
5	下午	False	True	True
5	凌晨	False	False	True
5	下午	False	False	True
5	下午	False	False	True
5	下午	False	False	False
5	下午	False	False	False
3	下午	True	False	False
4	晚上	False	False	True
4	上午	False	False	False
3	下午	False	False	True
5	上午	False	False	False
5	下午	False	False	False
5	下午	False	True	False
3	晚上	True	False	False
4	下午	False	False	False
5	下午	False	False	False
5	下午	False	False	True
5	下午	False	False	False
5	下午	False	False	False
3	晚上	False	False	True
2	中午	False	False	False
5	下午	False	False	False
4	晚上	False	False	False
5	下午	False	False	False
5	下午	False	False	True
5	晚上	False	False	False
4	晚上	False	False	False
5	下午	False	False	False
4	上午	False	False	False
5	下午	False	False	False
5	晚上	False	False	False
5	下午	False	False	True
4	下午	False	False	False
5	凌晨	False	False	False
4	晚上	False	False	False
2	晚上	False	True	False
4	下午	False	True	False
3	下午	False	False	False
5	下午	False	False	True
1	晚上	True	False	False
4	凌晨	False	False	False
4	下午	False	False	False
3	下午	False	True	False
4	晚上	False	False	False
2	晚上	False	False	False
4	晚上	False	False	False
4	晚上	False	False	True
5	中午	False	False	False
4	下午	False	False	True
3	晚上	False	False	False
3	晚上	False	False	True
4	晚上	False	False	False
4	晚上	False	False	False
5	晚上	False	False	False
5	下午	False	False	False
2	下午	False	False	True
3	下午	False	True	False
3	凌晨	False	False	False
5	中午	True	False	False
4	下午	False	False	False
4	下午	False	True	True
5	下午	False	False	True
4	下午	False	True	False
5	晚上	False	False	True
5	晚上	False	True	False
5	晚上	False	False	True
5	下午	False	True	True
5	下午	False	True	False
4	下午	False	False	False
7	上午	False	False	False
2	晚上	False	False	False
1	下午	False	False	False
5	下午	False	False	False
5	晚上	False	True	True
5	下午	False	False	False
5	中午	False	False	False
4	上午	False	False	False
7	晚上	False	False	True
5	下午	False	True	True
5	凌晨	False	False	False
3	下午	False	False	False
5	晚上	False	False	False
4	下午	False	False	False
4	上午	False	False	False
2	下午	False	False	False
5	下午	False	False	False
2	下午	False	False	True
3	下午	False	False	True
4	晚上	False	False	True
4	下午	False	False	True
5	下午	False	False	False
4	下午	False	False	True
5	下午	False	True	True
4	下午	False	False	True
3	下午	False	False	False
5	下午	False	False	False
5	上午	False	False	True
4	凌晨	True	False	False
5	下午	False	False	False
4	凌晨	False	False	False
2	下午	False	False	False
4	下午	False	False	False
4	下午	False	True	True
5	下午	False	False	True
3	晚上	False	False	False
5	下午	False	False	False
5	下午	False	False	False
4	晚上	False	False	True
3	下午	False	False	False
5	下午	False	False	False
5	晚上	False	False	False
4	下午	False	True	True
5	下午	False	False	False
5	下午	False	True	True
3	晚上	False	False	False
5	下午	False	False	False
5	上午	False	False	False
1	下午	False	False	False
4	上午	False	False	True
4	下午	False	False	False
5	下午	False	False	False
1	下午	False	False	False
5	晚上	False	False	True
2	晚上	False	False	False
5	晚上	False	True	True
5	凌晨	False	False	False
1	下午	False	False	False
5	晚上	False	False	False
5	上午	False	False	False
4	上午	False	False	False
5	上午	False	False	True
4	下午	False	False	True
4	下午	False	False	False
5	下午	True	False	True
2	下午	True	False	False
2	晚上	False	False	True
5	下午	False	False	False
4	下午	False	True	False
3	晚上	False	True	False
4	下午	False	False	False
5	下午	False	False	False
2	晚上	False	False	False
5	下午	False	False	False
7	凌晨	False	True	False
4	下午	False	False	False
5	上午	False	False	False
4	晚上	False	False	False
4	晚上	False	False	False
4	中午	False	False	False
4	下午	False	False	False
4	下午	False	False	True
4	下午	False	False	True
5	下午	False	False	False
5	晚上	True	False	False
5	下午	False	False	True
4	晚上	False	False	False
4	上午	False	False	False
2	中午	True	False	False
4	下午	False	False	False
5	下午	False	False	True
4	晚上	False	False	True
4	晚上	False	False	False
4	下午	False	False	False
3	下午	False	False	False
2	下午	False	True	False
5	下午	False	False	True
5	晚上	False	False	True
2	下午	False	False	False
4	下午	False	False	False
1	下午	True	False	False
5	下午	False	True	True
4	晚上	False	False	False
4	下午	False	False	False
5	下午	False	False	False
2	上午	False	False	False
6	凌晨	True	True	False
4	下午	False	False	True
4	下午	False	False	False
5	晚上	False	False	True
2	晚上	False	False	True
3	凌晨	False	False	False
2	下午	False	False	False
5	下午	False	True	False
3	上午	False	False	False
3	晚上	False	False	True
3	晚上	False	False	False
1	晚上	False	False	False
7	下午	False	False	False
2	晚上	False	True	False
4	下午	False	False	True
5	下午	False	False	False
4	下午	False	True	False
4	下午	False	False	False
4	上午	False	True	True
3	下午	False	False	False
5	下午	False	False	False
5	凌晨	False	True	True
5	凌晨	False	False	False
4	下午	False	False	False
4	下午	False	False	False
2	晚上	False	False	True
5	下午	False	True	True
3	下午	False	False	False
5	中午	False	False	False
5	上午	False	False	False
5	下午	False	False	False
5	凌晨	False	False	True
4	下午	False	False	False
4	凌晨	False	False	True
4	下午	False	True	False
3	晚上	False	False	True
4	下午	False	True	False
2	下午	False	False	False
5	下午	False	False	True
2	中午	False	False	False
2	上午	False	False	False
5	凌晨	False	False	False
6	上午	False	False	False
2	下午	False	True	False
3	晚上	False	False	False
7	下午	False	False	True
4	晚上	False	False	False
5	晚上	False	False	False
5	上午	False	False	True
4	下午	False	False	True
5	下午	False	True	True
2	晚上	False	False	False
2	晚上	False	False	False
3	下午	False	True	False
2	上午	False	True	True
5	下午	False	True	False
1	下午	False	False	False
2	上午	False	False	False
7	下午	False	False	False
3	晚上	False	False	False
4	晚上	False	False	False
3	下午	False	False	True
3	中午	False	False	False
4	晚上	False	False	False
3	晚上	False	False	True
4	晚上	False	False	False
4	晚上	False	True	False
4	晚上	False	False	False
4	下午	False	False	False
3	下午	False	False	False
2	下午	True	False	True
3	晚上	False	False	False
3	下午	False	False	False
4	下午	False	False	False
5	凌晨	False	False	False
4	上午	True	True	False
3	上午	False	False	False
5	下午	False	True	False
2	晚上	False	False	False
5	下午	False	False	True
4	晚上	False	True	True
3	晚上	False	False	False
4	下午	False	False	True
3	晚上	False	False	True
4	晚上	True	False	False
3	下午	False	False	False
4	晚上	False	False	False
3	晚上	False	False	False
5	凌晨	False	True	True
4	中午	False	False	True
6	凌晨	False	False	True
4	下午	False	False	False
4	晚上	False	False	True
4	下午	False	False	True
5	下午	True	False	True
4	下午	False	False	False
4	下午	True	False	False
2	晚上	False	False	False
3	上午	False	False	False
4	晚上	False	False	True
3	晚上	False	False	False
4	下午	False	True	False
3	中午	False	True	True
3	晚上	False	False	False
3	下午	True	False	False
4	下午	False	False	False
3	凌晨	False	False	False
3	晚上	False	False	False
3	下午	False	False	False
4	晚上	False	False	True
3	晚上	False	False	False
5	上午	False	False	False
5	下午	False	False	False
3	下午	False	True	True
5	下午	False	False	True
4	下午	False	False	True
4	下午	False	False	True
5	下午	False	True	True
7	下午	False	True	True
4	上午	False	False	False
3	晚上	True	False	False
4	下午	False	True	False
5	下午	False	False	True
5	早上	False	False	False
2	上午	False	False	False
1	晚上	False	False	False
3	上午	False	False	False
5	晚上	False	False	False
3	晚上	False	False	False
3	晚上	False	False	False
5	上午	False	False	False
3	晚上	False	True	True
3	下午	False	False	False
5	下午	False	False	True
6	下午	False	False	True
6	晚上	False	False	False
5	下午	False	False	False
4	晚上	False	False	False
7	晚上	False	False	False
4	下午	False	False	False
4	晚上	False	False	True
4	下午	False	False	True
4	晚上	False	False	False
2	下午	False	False	False
4	下午	False	False	False
6	晚上	False	False	False
5	晚上	False	False	False
5	下午	False	False	True
2	晚上	False	False	False
3	下午	False	True	False
5	下午	True	False	True
4	下午	False	False	False
6	上午	False	False	False
1	下午	False	False	False
2	晚上	False	False	False
4	下午	True	False	False
5	早上	False	False	True
3	晚上	False	False	False
5	凌晨	False	False	False
2	晚上	False	False	False
3	早上	False	False	True
4	上午	False	False	False
4	上午	False	False	False
4	晚上	False	False	False
1	晚上	False	False	False
5	晚上	False	False	False
4	下午	False	False	False
3	下午	False	False	True
5	早上	False	False	False
2	下午	False	False	False
5	下午	False	False	False
2	下午	False	False	False
5	下午	False	True	True
3	下午	False	False	False
4	晚上	False	False	False
4	晚上	False	False	True
3	晚上	False	True	False
5	中午	False	False	True
5	上午	False	False	False
4	下午	False	False	False
3	下午	True	False	False
3	下午	False	False	False
1	上午	False	False	False
7	下午	False	False	False
5	下午	False	False	False
7	晚上	False	False	True
5	上午	False	False	False
4	晚上	False	True	True
4	下午	False	True	False
1	下午	False	False	False
3	下午	False	False	False
3	凌晨	False	False	True
5	下午	False	False	False
2	晚上	False	False	False
4	下午	False	False	False
4	中午	False	False	False
1	中午	False	False	False
3	下午	False	True	False
2	晚上	False	False	True
5	上午	False	False	True
7	上午	False	False	False
3	晚上	False	False	True
4	下午	False	False	True
3	下午	False	True	False
3	晚上	True	False	False
5	早上	False	False	False
5	凌晨	False	False	False
2	上午	False	False	False
2	下午	False	False	True
3	下午	False	False	False
4	晚上	False	False	False
4	下午	False	False	True
3	上午	False	False	False
2	下午	False	False	True
5	中午	False	False	False
3	下午	False	False	True
5	晚上	False	False	True
5	上午	False	False	True
4	晚上	False	False	True
3	晚上	False	False	False
1	晚上	False	False	True
4	中午	True	False	False
5	下午	False	False	True
4	下午	False	False	True
4	晚上	False	False	False
5	下午	False	False	False
6	上午	False	False	False
4	晚上	False	True	False
7	晚上	False	False	True
3	下午	False	False	False
4	下午	False	True	False
4	上午	False	False	True
4	凌晨	False	True	False
5	下午	False	False	True
2	下午	False	False	False
1	下午	False	False	False
5	晚上	False	False	True
4	下午	False	False	False
4	晚上	False	False	True
2	下午	False	False	False
2	下午	False	False	True
2	下午	False	False	False
4	凌晨	False	False	True
7	下午	False	False	False
3	晚上	False	False	False
4	下午	False	False	True
3	下午	False	False	True
5	早上	False	False	True
6	下午	False	False	False
2	晚上	False	False	False
4	下午	False	False	True
1	下午	False	False	False
1	下午	False	False	False
2	晚上	True	False	False
7	下午	False	True	True
4	晚上	False	False	True
4	下午	True	False	True
5	凌晨	False	False	False
2	中午	False	True	True
3	上午	False	False	True
3	晚上	False	False	True
4	晚上	False	False	True
1	下午	False	True	True
3	晚上	False	False	False
1	晚上	False	True	True
4	晚上	False	False	False
5	下午	False	True	False
4	凌晨	False	False	False
3	下午	False	False	False
5	下午	False	False	False
1	上午	False	False	False
3	下午	False	False	False
4	上午	False	False	True
4	下午	False	False	False
2	晚上	False	False	False
3	下午	False	False	False
6	晚上	False	False	False
4	晚上	False	False	False
3	晚上	False	False	False
4	凌晨	False	False	False
7	下午	False	False	False
1	晚上	False	False	False
2	下午	False	False	True
3	上午	False	False	True
5	中午	False	False	False
3	上午	False	False	False
6	上午	False	False	False
5	凌晨	False	False	True
5	下午	False	False	True
4	晚上	True	False	False
3	下午	False	False	False
7	下午	False	True	True
