title	BV	tname	time	up_uid	up_name	view	like	coin	share	rcmd_reason
那些出了省就乱来的美食！	BV1d94y1p7zB	搞笑	2023-09-22 19:03:14	95515699	粤知一二	935810	94275	2142	1221	无推荐理由
《崩坏3》第二部预告	BV1oy4y1F75C	手机游戏	2023-09-22 11:17:56	27534330	崩坏3第一偶像爱酱	1499734	153616	69173	72369	百万播放
你出现在我诗的每一页	BV1H84y1D7ti	搞笑	2023-09-22 13:29:26	302338318	李炮炮儿	2316981	345961	30758	8442	百万播放
今日，我虽死，（                        ）！！！！！	BV1DV411A7Ck	鬼畜剧场	2023-09-22 03:34:49	1123353719	万灵缝合厂	2012661	255865	112950	15840	百万播放
我求婚了，但是……	BV1Y34y1A7R1	日常	2023-09-22 14:23:02	447317111	Meetfood觅食	696225	133268	143821	4226	13万点赞
仅此一枚的胜机【水无月菌】	BV1e8411y7ps	桌游棋牌	2023-09-22 17:43:31	1958342	水无月菌	681851	91822	64766	9087	9万点赞
以假乱真的“假包菜” 你见过吗？	BV1Qu4y1z7WB	科学科普	2023-09-22 18:21:35	439478093	中国食品报融媒体	477477	41091	1438	774	无推荐理由
伍佰郑州演唱会话筒不拿了，吉他也不背了，风扇一开他开始指挥了！	BV1r94y1p7Qf	音乐现场	2023-09-22 13:08:17	487614876	四川观察	1398705	58706	1019	10277	无推荐理由
如果没了中秋甚至春节 我们会变成什么样呢？	BV1xN411H73u	出行	2023-09-20 17:07:52	1220366646	野游记_	1182375	99909	6642	746	百万播放
我写了一首歌，送给所有女生的《初潮》	BV17p4y1P7G5	原创音乐	2023-09-21 22:17:19	337312411	翠花不太脆	721235	99369	15307	2690	9万点赞
“小塔乔”的资产有多少？【奇葩小国49】	BV1Wz4y1L7zE	人文历史	2023-09-21 11:23:31	23947287	小约翰可汗	1332615	127536	63531	3380	百万播放
面对英国队的惊艳表现，中国队三朵金花上演无敌风火轮，强势摘金	BV1TV411A7LC	竞技体育	2023-09-20 18:17:21	702853233	高歌体育	5302107	531276	17217	7873	百万播放
【独家/完结】时光代理人 第二季 第12集 不能没有好哥哥【7月国创】	BV1du411g7tS	国产动画	2023-09-22 09:14:32	98627270	哔哩哔哩国创	1673493	37746	25852	2130	无推荐理由
【动捕演员的日常】我是一个有坚持的乙方！甲方说改咱就改	BV1N34y1A7So	单机游戏	2023-09-22 16:00:55	3546375581075852	曦曦鱼SAKANA	568888	45269	3401	870	单机游戏·人气飙升
过年过节回村说的话，后劲真大	BV1ZV411A7Us	搞笑	2023-09-22 16:40:34	1155574439	真子日记	710521	54074	2006	756	无推荐理由
鉴定咬伤粉丝的毒蛇(2)老人自述被五步蛇咬伤！但其实并不是？应该用什么血清？	BV1fh4y1h7z3	科学科普	2023-09-20 21:43:17	25126508	世界记忆大师龙雅	1594685	122943	23545	1401	百万播放
【摩斯神探】超燃打斗，影史最励志的拳击片之一，拳王《奎迪》的诞生	BV1BH4y1S7rK	影视杂谈	2023-09-21 14:51:34	73528331	摩斯神探	1472821	94392	3068	371	百万播放
真实故事改编，听我的别来挑战自己，泪点低的千万不要看	BV1qw41127xG	影视杂谈	2023-09-22 18:36:46	604710494	长片短解	272722	18443	1711	442	无推荐理由
挑战！给130位师生做一顿饭！今天这条视频可是你和我一起完成的哦~	BV1kp4y1w7gY	美食制作	2023-09-22 14:05:40	504648459	安秋金	411035	62942	39463	204	6万点赞
100斤榴莲做的榴莲万层，怎么好像不太受欢迎	BV1rp4y1w7y6	美食侦探	2023-09-22 16:35:28	3493260093819171	李维刚的日常	472033	46313	2283	669	无推荐理由
【科马洛夫之死】找尸体只剩下一块碎肉，人类太空探索第一位牺牲的宇航员	BV1dp4y1w7gU	人文历史	2023-09-22 14:25:54	490505561	郑郑得证	478185	23094	1461	315	无推荐理由
「HAPPY END」——《崩坏3》S级角色「月下誓约·予爱以心」宣传PV	BV1ej411k7Bt	手机游戏	2023-09-20 19:38:56	27534330	崩坏3第一偶像爱酱	1117285	114787	63160	19152	百万播放
来深圳打工两个月后，我才知道：“人不仅仅是要活着…”	BV1Q84y1S7Gk	日常	2023-09-19 12:56:23	628368628	卜谷w	5213644	350687	257394	43958	百万播放
鸡  汤  来  咯	BV1jF411m7i6	日常	2023-09-22 17:11:11	219683419	演员陆二喜	515451	43968	8916	1115	日常·人气飙升
万字详拆芯片：人类算力被锁死了吗？	BV1Ap4y1w7a9	科学科普	2023-09-21 21:13:11	3546390628141921	宁拨打的用户正忙	521855	44575	40637	5348	很多人点赞
《鹊刀门传奇》大结局来了！酣畅淋漓，令人回味无穷！	BV1Mw411m7YE	影视杂谈	2023-09-22 13:26:21	79061224	刘老师说电影	529026	39590	15085	557	无推荐理由
真精彩。	BV18H4y1m7Q6	小剧场	2023-09-22 17:23:19	373388923	脱缰凯Kk	796817	96363	4689	711	9万点赞
这期视频我拍了整整七年….	BV1294y1p7HV	日常	2023-09-22 19:14:52	31438993	小桑菜奈	300421	25622	9503	765	无推荐理由
这就是我拒绝预制菜的理由	BV1xP411b7pA	日常	2023-09-21 22:28:51	28141208	天天向上吴万杰	833889	40192	690	303	无推荐理由
骑行阿富汗，塔利班士兵手持火箭筒欢送，狂奔120公里夜入喀布尔	BV1Su4y1z7AM	出行	2023-09-22 18:37:18	479592209	朱志文环球骑行	362918	30815	15307	1680	出行·人气飙升
“释小龙”大战师尊	BV1i84y1S7g1	小剧场	2023-09-21 11:58:37	388477943	薪儿姐师尊	957611	79735	6889	4011	7万点赞
17年前仅20MB容量的国产悬疑游戏竟领先国外！	BV1dP411b7Lm	单机游戏	2023-09-22 15:36:54	10558098	黑镖客梦回	274283	27396	6633	308	很多人点赞
无敌的我，又双叒回来了！	BV1Gj41187gr	电子竞技	2023-09-22 21:52:10	405370021	尴尬的铁根er	408505	37350	1530	214	无推荐理由
普通出身，如何最大限度“利用”大学？【学生请一定看完！】	BV1XH4y1S7vn	校园学习	2023-09-22 14:12:39	106685726	二二酸酸	155525	19340	9455	2432	无推荐理由
慎入！高速摄影机拍挤痘痘，酸爽溢出屏幕！	BV16N411H7tZ	科学科普	2023-09-21 13:51:03	407054668	亿点点不一样	1358097	122741	33981	21476	百万播放
就算步子乱了又如何，接着跳下去就好了，高分经典《闻香识女人》	BV1rH4y1m7bC	影视杂谈	2023-09-22 03:42:01	1119253352	顾我电影	153215	14474	3971	328	无推荐理由
【艾叔】宁波1100m²超大平层，光保姆间就三室一厅+宠物房	BV1oj411k7AJ	家居房产	2023-09-21 23:41:24	470156882	小艾大叔	302217	15082	4455	6394	无推荐理由
